sector_code,sector_name,factor_value,currency_code,factor_unit
492000/US,Couriers and messengers,0.4119031540936405,USD,kgco2e_per_usd
493000/US,Warehousing,0.3054109286435125,USD,kgco2e_per_usd
511110/US,Newspapers,0.07726492044869818,USD,kgco2e_per_usd
511120/US,Magazines and journals,0.08609922071704453,USD,kgco2e_per_usd
511130/US,Books,0.1224313551560481,USD,kgco2e_per_usd
5111A0/US,"Directory, mailing list, and other publishers",0.1013542858575281,USD,kgco2e_per_usd
511200/US,Software,0.0510508383887503,USD,kgco2e_per_usd
512100/US,Movies and film,0.05402334307743237,USD,kgco2e_per_usd
512200/US,Sound recording,0.02813057910704108,USD,kgco2e_per_usd
515100/US,Radio and television,0.08935929856718328,USD,kgco2e_per_usd
515200/US,Cable and subscription programming,0.109095441210092,USD,kgco2e_per_usd
517110/US,Telecommunications,0.09434947527643592,USD,kgco2e_per_usd
517210/US,Wireless telecommunications,0.1053216146516518,USD,kgco2e_per_usd
517A00/US,"Satellite, telecommunications resellers, and all other telecommunications",0.09197417340069387,USD,kgco2e_per_usd
518200/US,Data processing and hosting,0.09535753639974179,USD,kgco2e_per_usd
519130/US,Internet publishing and broadcasting,0.07197064106196757,USD,kgco2e_per_usd
5191A0/US,"News syndicates, libraries, archives, Internet publishing and all other information services",0.07349851025229039,USD,kgco2e_per_usd
522A00/US,Nondepository credit intermediation and related activities,0.08084475654976327,USD,kgco2e_per_usd
52A000/US,Monetary authorities and depository credit intermediation,0.07986769079741704,USD,kgco2e_per_usd
523900/US,"Investment advice, portfolio management, and other financial advising services",0.08073379316372432,USD,kgco2e_per_usd
523A00/US,Securities and commodities brokerage and exchanges,0.04746224185897412,USD,kgco2e_per_usd
524113/US,Direct life insurance carriers,0.05184269756265475,USD,kgco2e_per_usd
5241XX/US,"Insurance carriers, except direct life",0.0354168772778279,USD,kgco2e_per_usd
524200/US,Insurance agencies and brokerages,0.02919956472238159,USD,kgco2e_per_usd
525000/US,"Funds, trusts, and financial vehicles",0.2408545133665335,USD,kgco2e_per_usd
531HSO/US,Owner-occupied housing,0.04055022273322769,USD,kgco2e_per_usd
531HST/US,Tenant-occupied housing,0.03439717297187334,USD,kgco2e_per_usd
531ORE/US,Other real estate,0.2762880790613381,USD,kgco2e_per_usd
532100/US,Vehicle rental and leasing,0.1278558103934149,USD,kgco2e_per_usd
532400/US,Commercial equipment rental,0.124977742640368,USD,kgco2e_per_usd
532A00/US,Consumer goods and general rental centers,0.1215575608688751,USD,kgco2e_per_usd
533000/US,Lessors of nonfinancial intangible assets,0.06129249543675361,USD,kgco2e_per_usd
541100/US,Legal services,0.05162779126855684,USD,kgco2e_per_usd
541511/US,Custom computer programming,0.0844899574502866,USD,kgco2e_per_usd
541512/US,Computer systems design,0.0850057884510131,USD,kgco2e_per_usd
54151A/US,"Other computer related services, including facilities management",0.0787119075430328,USD,kgco2e_per_usd
541200/US,"Accounting, tax preparation, bookkeeping, and payroll",0.06123235421155913,USD,kgco2e_per_usd
541300/US,"Architectural, engineering, and related services",0.1198517676173171,USD,kgco2e_per_usd
541610/US,Management consulting,0.0771801688687482,USD,kgco2e_per_usd
5416A0/US,Environmental and other technical consulting services,0.09608284931860891,USD,kgco2e_per_usd
541700/US,Scientific research and development,0.1821153454521792,USD,kgco2e_per_usd
541800/US,Advertising and public relations,0.09140470990634553,USD,kgco2e_per_usd
541400/US,Specialized design,0.1005230440259667,USD,kgco2e_per_usd
541920/US,Photographers,0.1254251640980652,USD,kgco2e_per_usd
541940/US,Veterinarians,0.1508802363491293,USD,kgco2e_per_usd
5419A0/US,"Marketing research and all other miscellaneous professional, scientific, and technical services",0.09232630842627702,USD,kgco2e_per_usd
550000/US,Company and enterprise management,0.08665262095823732,USD,kgco2e_per_usd
561300/US,Employment services,0.06038572761782317,USD,kgco2e_per_usd
561700/US,Buildings and dwellings services,0.2400652029954956,USD,kgco2e_per_usd
561100/US,Office administration,0.1029665382414501,USD,kgco2e_per_usd
561200/US,Facilities support,0.2304772412519985,USD,kgco2e_per_usd
561400/US,Business support,0.1225420282870958,USD,kgco2e_per_usd
